Region,Corporate Entity Type,Chain,Brand,SKU,Year,Quarter,Price,Unit Sale,Revenue,Gross Contribution,Total Mkt share by Value,Total Mkt share by Volume
East,Hyper Market,Chain1,Confectionery,Delight Bar(40g),2019,Q1,1.4,300,420,147,0.227027027,0.3
West,Hyper Market,Chain1,Confectionery,Delight Bar(40g),2019,Q1,1.5,500,750,375,0.34965035,0.384615385
North,Hyper Market,Chain1,Confectionery,Delight Bar(40g),2019,Q1,1.1,200,220,77,0.25,0.25
South,Hyper Market,Chain1,Confectionery,Delight Bar(40g),2019,Q1,1.3,500,650,344.5,0.320987654,0.333333333
East,Hyper Market,Chain1,Confectionery,Delight Bar(40g),2019,Q2,1.5,400,600,300,0.27027027,0.333333333
West,Hyper Market,Chain1,Confectionery,Delight Bar(40g),2019,Q2,1.6,510,816,424.32,0.374655647,0.386363636
North,Hyper Market,Chain1,Confectionery,Delight Bar(40g),2019,Q2,1.1,350,385,211.75,0.291666667,0.291666667
South,Hyper Market,Chain1,Confectionery,Delight Bar(40g),2019,Q2,1.4,450,630,315,0.315315315,0.304054054
East,Hyper Market,Chain1,Confectionery,Delight Bar(40g),2019,Q3,2,500,1000,560,0.425622473,0.393700787
West,Hyper Market,Chain1,Confectionery,Delight Bar(40g),2019,Q3,1.9,480,912,437.76,0.417152659,0.362264151
North,Hyper Market,Chain1,Confectionery,Delight Bar(40g),2019,Q3,1.3,300,390,202.8,0.272727273,0.230769231
South,Hyper Market,Chain1,Confectionery,Delight Bar(40g),2019,Q3,1.4,480,672,349.44,0.32748538,0.315789474
East,Hyper Market,Chain1,Confectionery,Delight Bar(40g),2019,Q4,2.5,450,1125,596.25,0.475084459,0.3515625
West,Hyper Market,Chain1,Confectionery,Delight Bar(40g),2019,Q4,1.7,505,858.5,429.25,0.394767094,0.383156297
North,Hyper Market,Chain1,Confectionery,Delight Bar(40g),2019,Q4,1.2,340,408,220.32,0.274747475,0.251851852
South,Hyper Market,Chain1,Confectionery,Delight Bar(40g),2019,Q4,1.35,490,661.5,350.595,0.326666667,0.326666667
East,Hyper Market,Chain1,Confectionery,Tin Box Fudge(450g),2019,Q1,2.1,1500,3150,1732.5,0.414473684,0.375
East,Hyper Market,Chain1,Confectionery,Tin Box Fudge(450g),2019,Q2,2,1550,3100,1736,0.406877543,0.386533666
East,Hyper Market,Chain1,Confectionery,Tin Box Fudge(450g),2019,Q3,1.7,1640,2788,1644.92,0.36501702,0.407960199
East,Hyper Market,Chain1,Confectionery,Tin Box Fudge(450g),2019,Q4,2,1505,3010,1655.5,0.398543529,0.378616352
West,Hyper Market,Chain1,Confectionery,Tin Box Fudge(450g),2019,Q1,2.3,1900,4370,2185,0.384412386,0.387755102
West,Hyper Market,Chain1,Confectionery,Tin Box Fudge(450g),2019,Q2,2.4,1960,4704,2446.08,0.397565923,0.384313725
West,Hyper Market,Chain1,Confectionery,Tin Box Fudge(450g),2019,Q3,2.3,2100,4830,2898,0.385536398,0.388888889
West,Hyper Market,Chain1,Confectionery,Tin Box Fudge(450g),2019,Q4,2.5,1800,4500,2115,0.355900032,0.330275229
North,Hyper Market,Chain1,Confectionery,Tin Box Fudge(450g),2019,Q1,2.15,1700,3655,1827.5,0.395348837,0.395348837
North,Hyper Market,Chain1,Confectionery,Tin Box Fudge(450g),2019,Q2,2.1,1850,3885,2408.7,0.401550388,0.411111111
North,Hyper Market,Chain1,Confectionery,Tin Box Fudge(450g),2019,Q3,2.05,1920,3936,2597.76,0.397977755,0.417391304
North,Hyper Market,Chain1,Confectionery,Tin Box Fudge(450g),2019,Q4,2.1,1630,3423,1471.89,0.346107179,0.354347826
South,Hyper Market,Chain1,Confectionery,Tin Box Fudge(450g),2019,Q1,2.4,1700,4080,2244,0.406354265,0.395348837
South,Hyper Market,Chain1,Confectionery,Tin Box Fudge(450g),2019,Q2,2.5,1650,4125,2186.25,0.40611386,0.379310345
South,Hyper Market,Chain1,Confectionery,Tin Box Fudge(450g),2019,Q3,2.4,1680,4032,2177.28,0.39971449,0.388888889
South,Hyper Market,Chain1,Confectionery,Tin Box Fudge(450g),2019,Q4,2.7,1590,4293,2146.5,0.428565011,0.370629371
